Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;12;3;R;203;50;0;0;0;151;149
A;1;12;4;R;214;30;1;41;0;149;142
A;1;12;5;R;220;50;1;20;0;142;135
A;1;12;6;R;226;70;1;101;0;135;155
A;1;12;7;R;235;70;1;50;0;155;146
A;1;12;8;R;241;70;1;50;0;146;137
A;1;12;9;R;247;50;1;20;0;137;130
A;1;12;10;R;252;70;1;41;0;130;150
A;1;12;11;R;259;30;1;41;0;150;141
A;1;12;12;R;265;70;1;50;0;141;132
A;1;12;13;R;272;30;1;51;0;132;152
A;1;12;14;R;279;50;0;0;0;152;150
A;1;12;15;R;289;50;1;60;0;150;170
A;1;12;16;R;297;80;0;0;0;170;167
A;1;12;17;R;300;80;0;0;0;167;162
A;1;12;18;R;312;80;0;0;0;162;159
A;1;12;19;R;314;50;1;24;0;159;152
A;1;12;20;R;323;50;1;60;0;152;172
A;1;12;21;R;328;80;0;0;0;172;169
A;1;12;22;R;339;80;0;0;0;169;166
A;1;12;23;R;345;80;0;0;0;166;161
A;1;12;24;R;354;50;1;66;0;161;181
A;1;12;25;R;359;50;1;61;0;181;201
A;1;12;26;R;366;30;1;40;0;201;194
A;1;12;27;R;375;80;0;0;0;194;191
A;1;12;28;R;378;50;1;26;0;191;184
A;1;12;29;R;385;80;0;0;0;184;181
A;1;12;30;R;391;50;1;65;0;181;201
A;1;13;1;P;170;30;1;101;0;140;160
A;1;13;2;P;179;50;0;0;0;160;158
A;1;13;3;P;186;30;1;41;0;158;178
A;1;13;1;R;191;70;1;50;0;140;131
A;1;13;2;R;197;50;0;0;0;131;129
A;1;13;3;R;205;30;1;40;0;129;120
A;1;13;4;R;211;70;1;41;0;120;111
A;1;13;5;R;216;30;1;40;0;111;131
A;1;13;6;R;228;50;0;0;0;131;129
A;1;13;7;R;231;30;1;40;0;129;149
A;1;13;8;R;240;30;1;40;0;149;140
A;1;13;9;R;248;50;0;0;0;140;138
A;1;13;10;R;254;70;1;40;0;138;129
A;1;13;11;R;260;50;0;0;0;129;127
A;1;13;12;R;269;70;1;50;0;127;118
A;1;13;13;R;277;50;0;0;0;118;116
A;1;13;14;R;279;30;1;51;0;116;136
A;1;13;15;R;288;70;1;101;0;136;156
A;1;13;16;R;298;80;1;36;0;156;146
A;1;13;17;R;303;50;1;25;0;146;139
A;1;13;18;R;309;80;1;45;0;139;129
A;1;13;19;R;318;30;1;41;0;129;149
A;1;13;20;R;325;50;0;0;0;149;147
A;1;13;21;R;332;50;0;0;0;147;107
A;1;13;22;R;335;80;0;0;0;107;104
A;1;13;23;R;345;50;0;0;0;104;102
A;1;13;24;R;349;30;1;55;0;102;122
A;1;13;25;R;359;30;1;40;0;122;115
A;1;13;26;R;368;50;1;60;0;115;135
A;1;13;27;R;373;50;1;25;0;135;128
A;1;13;28;R;378;80;1;35;0;128;118
A;1;13;29;R;386;30;1;40;0;118;111
A;1;13;30;R;396;80;0;0;0;111;108
A;1;14;1;P;172;50;1;61;0;140;160
A;1;14;2;P;176;50;0;0;0;160;158
A;1;14;3;P;181;50;1;61;0;158;178
A;1;14;1;R;190;30;1;50;0;140;131
A;1;14;2;R;200;30;1;51;0;131;151
A;1;14;3;R;205;50;1;20;0;151;144
A;1;14;4;R;210;70;1;51;0;144;164
A;1;14;5;R;219;70;1;50;0;164;155
A;1;14;6;R;225;70;1;51;0;155;175
A;1;14;7;R;234;50;1;60;0;175;195
A;1;14;8;R;240;50;1;21;0;195;188
A;1;14;9;R;246;70;0;0;0;188;184
A;1;14;10;R;254;50;1;20;0;184;177
A;1;14;11;R;260;70;1;50;0;177;168
A;1;14;12;R;270;70;1;50;0;168;159
A;1;14;13;R;273;50;1;60;0;159;179
A;1;14;14;R;284;70;1;40;0;179;199
A;1;14;15;R;290;70;1;41;0;199;190
A;1;14;16;R;296;50;1;65;0;190;210
A;1;14;17;R;304;50;1;25;0;210;203
A;1;14;18;R;311;30;1;56;0;203;223
A;1;14;19;R;319;30;1;41;0;223;243
A;1;14;20;R;325;30;1;101;0;243;263
A;1;14;21;R;333;80;1;36;0;263;253
A;1;14;22;R;335;50;1;60;0;253;273
A;1;14;23;R;345;30;1;101;0;273;293
A;1;14;24;R;354;80;1;35;0;293;285
A;1;14;25;R;357;80;1;36;0;285;275
A;1;14;26;R;363;50;1;25;0;275;268
A;1;14;27;R;370;30;1;41;0;268;288
A;1;14;28;R;381;80;1;36;0;288;278
A;1;14;29;R;388;50;1;25;0;278;271
A;1;14;30;R;395;30;1;40;0;271;291
A;1;15;1;P;168;30;0;0;0;140;138
A;1;15;2;P;175;70;1;51;0;138;158
A;1;15;3;P;185;70;0;0;0;158;156
A;1;15;1;R;189;70;1;40;0;140;131
A;1;15;2;R;196;70;1;51;0;131;151
A;1;15;3;R;202;70;0;0;0;151;149
A;1;15;4;R;213;30;0;0;0;149;145
A;1;15;5;R;217;30;1;101;0;145;165
A;1;15;6;R;228;70;1;51;0;165;185
A;1;15;7;R;232;30;0;0;0;185;183
A;1;15;8;R;242;30;1;51;0;183;203
A;1;15;9;R;248;70;1;51;0;203;223
A;1;15;10;R;256;70;0;0;0;223;221
A;1;15;11;R;258;70;0;0;0;221;181
A;1;15;12;R;268;70;1;41;0;181;201
A;1;15;13;R;276;70;0;0;0;201;197
A;1;15;14;R;281;30;0;0;0;197;195
A;1;15;15;R;290;30;1;41;0;195;215
A;1;15;16;R;296;30;0;0;0;215;213
A;1;15;17;R;304;80;1;36;0;213;203
A;1;15;18;R;308;80;1;45;0;203;193
A;1;15;19;R;315;50;1;60;0;193;213
A;1;15;20;R;326;80;1;36;0;213;203
A;1;15;21;R;332;30;0;0;0;203;163
A;1;15;22;R;337;50;1;24;0;163;156
A;1;15;23;R;344;30;1;41;0;156;149
A;1;15;24;R;349;80;1;46;0;149;139
A;1;15;25;R;358;80;1;36;0;139;129
A;1;15;26;R;366;50;1;61;0;129;149
A;1;15;27;R;371;50;0;0;0;149;147
A;1;15;28;R;382;50;1;61;0;147;167
A;1;15;29;R;389;80;1;36;0;167;157
A;1;15;30;R;396;50;1;60;0;157;177
A;1;16;1;P;170;70;0;0;0;140;136
A;1;16;2;P;177;30;1;40;0;136;156
A;1;16;3;P;185;30;1;41;0;156;149
A;1;16;1;R;188;70;1;40;0;140;131
A;1;16;2;R;196;50;0;0;0;131;129
A;1;16;3;R;203;70;1;101;0;129;149
A;1;16;4;R;213;50;0;0;0;149;147
A;1;16;5;R;221;30;1;41;0;147;167
A;1;16;6;R;223;50;0;0;0;167;165
A;1;16;7;R;233;30;1;40;0;165;156
A;1;16;8;R;240;70;1;40;0;156;176
A;1;16;9;R;244;70;1;41;0;176;196
A;1;16;10;R;251;30;1;51;0;196;216
A;1;16;11;R;263;30;1;40;0;216;207
A;1;16;12;R;269;30;1;51;0;207;227
A;1;16;13;R;273;70;0;0;0;227;225
A;1;16;14;R;281;70;1;40;0;225;218
A;1;16;15;R;291;50;0;0;0;218;216
A;1;16;16;R;295;80;0;0;0;216;213
A;1;16;17;R;305;80;1;46;0;213;203
A;1;16;18;R;307;50;1;26;0;203;196
A;1;16;19;R;316;30;1;40;0;196;216
A;1;16;20;R;324;50;0;0;0;216;213
A;1;16;21;R;329;30;1;40;0;213;233
A;1;16;22;R;340;80;0;0;0;233;228
A;1;16;23;R;346;50;1;25;0;228;221
A;1;16;24;R;353;80;0;0;0;221;218
A;1;16;25;R;360;80;0;0;0;218;215
A;1;16;26;R;368;80;0;0;0;215;212
A;1;16;27;R;374;30;1;40;0;212;232
A;1;16;28;R;378;30;1;40;0;232;252
A;1;16;29;R;388;30;1;41;0;252;272
A;1;16;30;R;393;30;1;41;0;272;292
A;1;17;1;P;171;70;1;41;0;140;160
A;1;17;2;P;174;50;1;20;0;160;153
A;1;17;3;P;184;50;0;0;0;153;151
A;1;17;1;R;191;50;0;0;0;140;138
A;1;17;2;R;197;30;1;51;0;138;158
